"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1965","Census Tract 701902","350","Census Tract 300902","6/1/2018 - 8/31/2018, Every day, Daily Average",2605,1734,3911
"1965","Census Tract 701902","351","Census Tract 301000","6/1/2018 - 8/31/2018, Every day, Daily Average",2899,1944,4321
"1965","Census Tract 701902","354","Census Tract 301204","6/1/2018 - 8/31/2018, Every day, Daily Average",2961,1953,4488
"1965","Census Tract 701902","360","Census Tract 301502","6/1/2018 - 8/31/2018, Every day, Daily Average",3319,2214,4973
"1965","Census Tract 701902","361","Census Tract 301601","6/1/2018 - 8/31/2018, Every day, Daily Average",2805,1856,4238
"1965","Census Tract 701902","362","Census Tract 301602","6/1/2018 - 8/31/2018, Every day, Daily Average",2865,1894,4332
"1965","Census Tract 701902","363","Census Tract 301701","6/1/2018 - 8/31/2018, Every day, Daily Average",2928,1941,4416
"1965","Census Tract 701902","364","Census Tract 301702","6/1/2018 - 8/31/2018, Every day, Daily Average",2747,1853,4070
"1965","Census Tract 701902","365","Census Tract 301801","6/1/2018 - 8/31/2018, Every day, Daily Average",2891,1937,4313
"1965","Census Tract 701902","366","Census Tract 301802","6/1/2018 - 8/31/2018, Every day, Daily Average",3005,2109,4281
"1965","Census Tract 701902","367","Census Tract 301900","6/1/2018 - 8/31/2018, Every day, Daily Average",3040,2067,4470
"1965","Census Tract 701902","368","Census Tract 302002","6/1/2018 - 8/31/2018, Every day, Daily Average",3088,2260,4217
"1965","Census Tract 701902","371","Census Tract 302102","6/1/2018 - 8/31/2018, Every day, Daily Average",2577,1690,3927
"1965","Census Tract 701902","373","Census Tract 302104","6/1/2018 - 8/31/2018, Every day, Daily Average",3122,2097,4647
"1965","Census Tract 701902","374","Census Tract 302201","6/1/2018 - 8/31/2018, Every day, Daily Average",3112,2073,4671
"1965","Census Tract 701902","375","Census Tract 302202","6/1/2018 - 8/31/2018, Every day, Daily Average",3085,2053,4635
"1965","Census Tract 701902","376","Census Tract 302301","6/1/2018 - 8/31/2018, Every day, Daily Average",3164,2159,4634
"1965","Census Tract 701902","377","Census Tract 302302","6/1/2018 - 8/31/2018, Every day, Daily Average",3306,2218,4926
"1965","Census Tract 701902","378","Census Tract 302401","6/1/2018 - 8/31/2018, Every day, Daily Average",3146,2033,4865
"1965","Census Tract 701902","379","Census Tract 302503","6/1/2018 - 8/31/2018, Every day, Daily Average",2906,1969,4286
